subj,RT,cond,type,confresponse
103,1.6897000074386597,faces,1,4
103,1.3350999355316162,faces,1,1
103,0.36810001730918884,faces,1,1
103,0.15710000693798065,faces,1,99
103,0.5112999677658081,faces,2,4
103,2.22379994392395,faces,2,1
103,2.3171000480651855,faces,1,4
103,1.340499997138977,faces,2,1
103,3.410799980163574,faces,2,1
103,1.0425000190734863,faces,1,4
103,0.5965999960899353,faces,2,4
103,0.5985999703407288,faces,2,4
103,0.4867999851703644,faces,2,4
103,0.490200012922287,faces,1,1
103,3.168600082397461,faces,1,4
103,1.534600019454956,faces,1,4
103,nan,words,2,99
103,2.5910000801086426,words,2,4
103,1.2973999977111816,words,1,1
103,0.683899998664856,words,1,1
103,0.49549999833106995,words,1,1
103,1.026900053024292,words,2,4
103,0.8741999864578247,words,1,4
103,2.1045000553131104,words,2,4
103,0.5579000115394592,words,2,4
103,0.7275999784469604,words,2,1
103,0.9539999961853027,words,1,4
103,1.1218000650405884,words,1,1
103,1.138800024986267,words,1,4
103,1.5496999025344849,words,1,4
103,4.568399906158447,words,2,1
103,1.2867000102996826,words,1,4
103,3.303499937057495,words,2,4
103,4.831999778747559,words,2,1
103,1.187000036239624,words,1,4
103,2.755000114440918,words,2,4
103,2.2276999950408936,words,2,1
103,0.5033000111579895,words,1,4
103,0.5429999828338623,words,2,4
103,2.57889986038208,words,1,1
103,0.44770002365112305,words,2,4
103,2.7170000076293945,words,2,1
103,0.7371000051498413,words,2,4
103,0.4602999985218048,words,1,4
103,0.34850001335144043,words,1,4
103,0.5110999941825867,words,1,1
103,0.2996000051498413,words,2,4
103,0.30810001492500305,words,1,1
103,1.0748000144958496,words,1,4
103,2.7656002044677734,words,2,1
103,2.719099998474121,words,1,1
103,0.07150000333786011,words,1,99
103,0.5134999752044678,words,2,4
103,1.173799991607666,words,1,1
103,0.5320999622344971,words,2,4
103,0.4018999934196472,words,1,4
103,0.35770002007484436,words,2,1
103,1.0316998958587646,words,2,4
103,0.3720000088214874,words,2,4
103,0.3263999819755554,words,2,4
103,0.304500013589859,words,1,1
103,2.3071000576019287,words,1,1
103,2.949199914932251,words,1,4
103,1.2908000946044922,words,2,4
103,2.033400058746338,words,2,1
103,1.8631999492645264,words,2,4
103,2.4466001987457275,words,2,1
103,0.8253999948501587,words,2,4
103,1.8176000118255615,words,2,4
103,2.2065000534057617,words,2,1
103,1.266300082206726,words,2,4
103,1.2748000621795654,words,1,4
103,3.0467000007629395,words,2,4
103,0.5521000027656555,words,2,1
103,0.7545999884605408,words,1,4
103,1.125,words,2,1
103,1.1601999998092651,words,1,4
103,1.375499963760376,words,1,1
103,1.4413000345230103,words,1,4
103,2.2990000247955322,words,2,1
103,0.7494000196456909,words,2,4
103,1.469599962234497,words,1,1
103,1.1424000263214111,words,2,4
103,0.3872999846935272,words,1,4
103,0.3824000060558319,words,1,4
103,1.916599988937378,words,1,4
103,1.0396000146865845,words,2,1
103,4.328200340270996,words,1,4
103,3.2727999687194824,words,1,1
103,0.560200035572052,words,2,4
103,2.97760009765625,words,1,1
103,0.7410999536514282,words,1,4
103,0.5266000032424927,words,1,4
103,1.017899990081787,words,1,4
103,0.18490000069141388,words,2,99
103,1.4220000505447388,words,1,1
103,1.0439000129699707,words,2,4
103,2.15910005569458,words,2,1
103,0.5145999789237976,words,2,4
103,1.1168999671936035,words,1,4
103,0.8598999977111816,words,1,4
103,0.9222999811172485,words,1,1
103,2.652600049972534,words,2,1
103,4.020400047302246,words,1,4
103,0.8085999488830566,words,1,4
103,0.9592999815940857,words,2,1
103,0.7578999996185303,words,2,1
103,1.1513999700546265,words,1,4
103,0.6554000377655029,words,2,4
103,0.275299996137619,words,2,99
103,0.3086000084877014,words,1,4
103,0.32670000195503235,words,1,1
103,1.8389999866485596,faces,1,1
103,1.4153000116348267,faces,1,1
103,1.416599988937378,faces,1,1
103,1.0688999891281128,faces,2,4
